Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor,PreviousOwnerName,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,WindowModelNames,Price
,1.0,67.0,Rural,4.0,Poor,False,Gas,True,True,2020-10-11,Yellow,Florian,False,Excellent,Poor,Good,Good,10.0,2.64,,Steel Q69 Window,333.30685
,5.0,138.0,Urban,71.0,None,,Oil,False,True,2020-12-26,White,Lukas,False,Good,Poor,Excellent,Good,7.0,3.14,219.2,BUW Aluminum M542LK Window,255.40604
1.0,,87.0,,63.0,None,True,Oil,True,False,2020-09-06,Green,Stefan,False,Good,Good,Good,Good,7.0,2.64,139.2,VIWF Wood FRTJ,106.78187
3.0,1.0,125.0,Suburbann,50.0,Poor,False,Gas,False,False,2020-10-01,Green,Denis,False,Good,Good,Excellent,Good,10.0,3.06,123.0,O226N Wood O16VY Window,120.14759
,1.0,27.0,Suburban,29.0,Good,True,Electric,False,False,2021-08-14,White,Sandra,False,Good,Excellent,Excellent,Good,16.0,2.73,,Wood 1R6OXF Window,76.8998
,,41.0,Rural,48.0,None,,Electricity,True,False,2023-11-09,Gray,Lukas,False,Excellent,Excellent,Excellent,Good,7.0,1.41,,Aluminum YRTA4,121.7699
1.0,1.0,56.0,Urban,50.0,None,,Gas,True,False,2021-09-22,White,Laura,False,Excellent,Good,Excellent,Poor,7.0,3.59,56.0,N18 Wood 4YT2,137.09934
,2.0,108.0,Suburban,60.0,None,,Electric,False,True,2022-07-29,,Laura,False,Good,Excellent,Poor,Excellent,7.0,3.0,,Steel 733PM,146.40906
2.0,2.0,91.0,Rural,60.0,,False,Electric,True,False,2024-01-25,Green,Andreas,False,Excellent,Poor,Excellent,Poor,7.0,1.84,54.0,D4GFJW1 Aluminum H5C Window,162.68328
1.0,3.0,107.0,Suburbann,71.0,None,False,Oil Heating,True,True,2023-12-25,Gray,Maria,False,Poor,Good,Good,Good,7.0,2.22,172.8,DAXV Aluminum 3R46 Window,127.37964
1.0,1.0,77.0,Suburbann,55.0,Excellent,False,Electric,True,False,2022-01-19,White,Florian,False,Good,Excellent,Excellent,Good,26.0,1.5,,O95F Steel WTAYP,141.46118
,1.0,59.0,Suburbann,49.0,Good,False,Oil Heating,False,True,2023-05-12,Yellow,Theresa,False,Excellent,Good,Excellent,Good,16.0,2.53,5214.0,Aluminum QABRG,99.01717
1.0,2.0,108.0,Suburbann,,None,False,Gas,True,False,2021-10-29,Yellow,Denis,False,Good,Excellent,Excellent,Good,7.0,2.08,,NEY62QT Steel 0G5 Window,138.30428
2.0,2.0,108.0,Rural,65.0,None,,Oil Heating,False,False,2022-01-17,Yellow,Denis,False,Poor,Good,Excellent,Poor,7.0,4.69,,Aluminum C3CU Window,224.60338
,3.0,100.0,Urban,52.0,Good,True,Oil Heating,False,True,2022-06-22,Gray,Daniel,False,Poor,Good,Excellent,Good,16.0,2.14,,QJ8FU Aluminum FPTH,225.95032
1.0,1.0,44.0,Urban,45.0,Excellent,,Oil Heating,False,False,2021-11-24,Gray,Florian,False,Poor,Excellent,Good,Good,26.0,2.5,72.0,HR0P3S0 Aluminum QX02J,129.74722
1.0,2.0,96.0,Suburban,64.0,None,False,Electricity,False,True,2021-10-26,White,Daniel,False,Good,Excellent,Excellent,Excellent,7.0,2.44,,Steel 3WAM Window,144.5533
